District,Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Hubli,Sugarcane,Drip Irrigation,8430.653665882128,8528.423939089249
Mangalore,Wheat,Canal Irrigation,7227.499237913353,6791.917730613209
Bijapur,Maize,Tube Well,12260.0572581808,12048.593905518686
Raichur,Opium,Tube Well,9685.95707379442,9556.337170604267
Shimoga,Fenugreek,Sprinkler Irrigation,9494.576539603177,8871.030215758707
Udupi,Guava,Tube Well,7218.176224919613,8213.088310940555
Dharwad,Pulses,Drip Irrigation,6031.495057106686,5062.910655856738
Bellary,Fenugreek,Tube Well,16090.023388301024,15361.574879392623
Chitradurga,Fennel,Tube Well,15163.949776545727,15951.11471483061
Bangalore Urban,Citrus,Sprinkler Irrigation,8226.828899981212,8075.078269126398
Bangalore Rural,Pomegranate,Canal Irrigation,7285.115977858025,7134.659692449487
Mysore,Cumin,Tube Well,11582.777316251188,11056.277250807225
Tumkur,Cotton,Tube Well,13407.005540905684,13559.71024720156
Belgaum,Barley,Tube Well,12240.947529657356,11467.276268887224
Gulbarga,Opium,Drip Irrigation,6223.621394910118,6686.207760943793
Hubli,Tomato,Drip Irrigation,9722.879825451417,9943.021043881912
Mangalore,Onion,Drip Irrigation,10936.188709956168,11014.583134843144
Bijapur,Sugarcane,Drip Irrigation,14425.183186804308,14495.249710036278
Raichur,Onion,Tube Well,10687.56985089988,10626.034635134123
Shimoga,Citrus,Canal Irrigation,13588.230351163556,14184.676795177538
Udupi,Oilseeds,Drip Irrigation,12472.162586544757,12667.43562453606
Dharwad,Cumin,Canal Irrigation,6194.53353646851,6140.854600376566
Bellary,Cumin,Drip Irrigation,11583.422525144317,11166.928942551349
Chitradurga,Wheat,Canal Irrigation,12097.01360299293,11350.65627388654
Bangalore Urban,Cotton,Canal Irrigation,8157.0222407862,7718.966103749178
Bangalore Rural,Wheat,Drip Irrigation,9948.401485960649,10768.6644633189
Mysore,Fenugreek,Tube Well,10101.867693715829,9452.666423690644
Tumkur,Onion,Sprinkler Irrigation,14264.932912984446,14988.961769039744
Belgaum,Mustard,Sprinkler Irrigation,10055.48157776344,10698.929113310312
Gulbarga,Citrus,Tube Well,8808.136977414795,8688.506994198258
Hubli,Bajra,Canal Irrigation,7486.885654990174,7015.676646825231
Mangalore,Barley,Sprinkler Irrigation,9033.817675819651,8986.281560491683
Bijapur,Garlic,Sprinkler Irrigation,8554.083984697136,8965.299593861231
Raichur,Cotton,Sprinkler Irrigation,11870.40554016511,11739.874199504404
Shimoga,Tomato,Tube Well,12435.124833905207,13358.65027951927
Udupi,Gram,Canal Irrigation,15411.120009045768,15274.691766280186
Dharwad,Mango,Canal Irrigation,8690.014378192613,7886.567955009886
Bellary,Pomegranate,Tube Well,13464.636943460097,13962.818766978922
Chitradurga,Bajra,Canal Irrigation,10494.503339719837,11480.9330337155
Bangalore Urban,Garlic,Drip Irrigation,13317.78093231096,13981.15993196072
Bangalore Rural,Citrus,Drip Irrigation,11982.041814624195,12353.04091909335
Mysore,Maize,Canal Irrigation,8077.426145965102,7145.509671022245
Tumkur,Mustard,Drip Irrigation,14383.740020062569,14696.951057191238
Belgaum,Coriander,Drip Irrigation,10478.286254714449,9718.2404742701
Gulbarga,Pulses,Tube Well,12519.903167578968,13319.697597833452
Hubli,Oilseeds,Drip Irrigation,12962.27562212278,12468.947099896095
Mangalore,Fenugreek,Drip Irrigation,11675.9561919122,12521.346973601596
Bijapur,Citrus,Canal Irrigation,9251.044913323143,9812.507510484633
Raichur,Barley,Tube Well,9180.030218320871,10171.947352547117
Shimoga,Cotton,Sprinkler Irrigation,10527.813095782438,10511.256668593058
Udupi,Coriander,Tube Well,6830.424921767177,6814.539510689893
Dharwad,Garlic,Tube Well,7946.718068675412,8233.394402613201
Bellary,Opium,Canal Irrigation,6808.763795226144,5954.602801984063
Chitradurga,Cotton,Tube Well,6307.872962027843,6303.275717599063
Bangalore Urban,Barley,Tube Well,8087.602263601358,8487.71266227881
Bangalore Rural,Cumin,Drip Irrigation,10498.58060222211,11378.402748682383
Mysore,Onion,Tube Well,10431.12895565772,10886.663797984018
Tumkur,Garlic,Sprinkler Irrigation,5766.407617282097,6674.718309134388
Belgaum,Gram,Canal Irrigation,7554.884208674378,7160.540361647178
Gulbarga,Fennel,Drip Irrigation,10913.246469955668,11619.930626625724
Hubli,Mustard,Tube Well,14618.428084360095,14198.345420582516
Mangalore,Oilseeds,Drip Irrigation,12807.006213033175,13128.474390336896
Bijapur,Opium,Tube Well,15038.43731016288,15299.671425060766
Raichur,Onion,Drip Irrigation,13264.426181969558,13140.393680619576
Shimoga,Pulses,Drip Irrigation,7941.71651590892,8381.19458539887
Udupi,Maize,Tube Well,9778.388588703136,10363.86693237696
Dharwad,Onion,Tube Well,14354.607312397398,13387.44388428517
Bellary,Barley,Canal Irrigation,12064.056999034912,11149.686065941898
Chitradurga,Bajra,Tube Well,13462.229941809144,14202.630000946718
Bangalore Urban,Pulses,Sprinkler Irrigation,13011.049263458935,12084.80459830501
Bangalore Rural,Onion,Drip Irrigation,9389.109535118874,10225.14768677604
Mysore,Maize,Sprinkler Irrigation,6088.111343713056,6353.434253216606
Tumkur,Gram,Tube Well,10677.835078826483,11348.539392805673
Belgaum,Gram,Drip Irrigation,11188.69268213842,11787.043126807375
Gulbarga,Mustard,Sprinkler Irrigation,11298.744093637628,11921.78615311722
Hubli,Mango,Drip Irrigation,13925.205313205744,14077.139334110712
Mangalore,Mango,Sprinkler Irrigation,13186.357276652689,13372.527782734382
Bijapur,Mustard,Drip Irrigation,8888.025671803898,9403.12584419177
Raichur,Opium,Canal Irrigation,11498.959666396311,11376.282090504768
Shimoga,Barley,Sprinkler Irrigation,6952.117593245303,7646.851013739422
Udupi,Pomegranate,Sprinkler Irrigation,6596.729919091738,6570.664868738965
Dharwad,Wheat,Sprinkler Irrigation,15026.547697641205,15440.030194554813
Bellary,Sugarcane,Tube Well,10726.443363138786,11310.92479278365
Chitradurga,Opium,Sprinkler Irrigation,8538.202469741247,8817.853877205836
Bangalore Urban,Tomato,Tube Well,8876.71723393254,8225.815105869964
Bangalore Rural,Coriander,Sprinkler Irrigation,11504.132078144998,11728.231713482262
Mysore,Fennel,Canal Irrigation,9165.32193312486,8174.462015688475
Tumkur,Bajra,Drip Irrigation,15896.186432125534,16849.769390938305
Belgaum,Guava,Sprinkler Irrigation,9964.905628898414,10217.834119229095
Gulbarga,Cotton,Drip Irrigation,8574.328370023022,9167.554313308508
Hubli,Onion,Sprinkler Irrigation,9196.046016577437,10041.392095496543
Mangalore,Fennel,Canal Irrigation,7892.338002521121,7761.681287059238
Bijapur,Coriander,Tube Well,5507.389543911853,5988.223313538121
Raichur,Oilseeds,Sprinkler Irrigation,13466.501693711718,13436.624485760523
Shimoga,Mustard,Sprinkler Irrigation,13394.048900718515,13579.46222524986
Udupi,Citrus,Sprinkler Irrigation,12430.031468646672,13226.77698240898
Dharwad,Gram,Canal Irrigation,9219.919015214182,8694.155738067184
Bellary,Bajra,Tube Well,12145.254964867,11292.314397596932
Chitradurga,Onion,Drip Irrigation,14985.483441980414,14275.365985904346
Bangalore Urban,Tomato,Sprinkler Irrigation,8911.254812305679,8184.064041467122
Bangalore Rural,Fennel,Canal Irrigation,17321.244086806902,16725.6658683452
Mysore,Barley,Drip Irrigation,10224.143883998218,9446.362425078743
Tumkur,Tomato,Tube Well,6962.690542213025,6649.8425586717385
Belgaum,Coriander,Sprinkler Irrigation,12385.67735176741,12661.675779527415
Gulbarga,Oilseeds,Sprinkler Irrigation,7360.920782614978,8074.868310049935
Hubli,Bajra,Tube Well,13009.001151244214,12567.34290792339
Mangalore,Maize,Sprinkler Irrigation,8905.040178377934,9063.974238450932
Bijapur,Pulses,Drip Irrigation,9784.72564330924,8873.174034270807
Raichur,Chilli,Drip Irrigation,7943.994593089513,7732.634905631077
Shimoga,Tomato,Tube Well,8153.305461698139,8270.279394576495
Udupi,Opium,Tube Well,13545.89218379728,12811.316187374598
Dharwad,Maize,Drip Irrigation,5840.427811761392,6178.49902847632
Bellary,Opium,Tube Well,15702.14963779067,16196.723031011275
Chitradurga,Tomato,Tube Well,11319.77652598992,12068.174602034464
Bangalore Urban,Oilseeds,Canal Irrigation,12587.975049199922,12995.779175245065
Bangalore Rural,Fennel,Drip Irrigation,9199.90530944715,9581.406586728584
Mysore,Barley,Canal Irrigation,9558.028738782135,9097.607499913523
Tumkur,Garlic,Sprinkler Irrigation,14123.762281617335,13285.680364755432
Belgaum,Barley,Canal Irrigation,14467.594163163929,13689.527250616502
Gulbarga,Tomato,Drip Irrigation,9820.24777563332,9170.782582006628
Hubli,Opium,Drip Irrigation,12116.360419506973,12663.51143676622
Mangalore,Mango,Sprinkler Irrigation,10497.012717054124,10795.089517735678
Bijapur,Opium,Sprinkler Irrigation,11996.211010032272,12517.982816889817
Raichur,Guava,Canal Irrigation,9389.20304157219,9235.061291790003
Shimoga,Mustard,Canal Irrigation,8355.334627828384,8327.788438124593
Udupi,Gram,Tube Well,16041.891875639009,16398.508459483714
Dharwad,Sugarcane,Tube Well,13030.965986339426,13630.773720729125
Bellary,Bajra,Tube Well,5868.96957880922,5650.334584450589
Chitradurga,Sugarcane,Drip Irrigation,6060.6420527993305,5612.527525216575
Bangalore Urban,Onion,Sprinkler Irrigation,14543.524441226464,14584.899719939343
Bangalore Rural,Sugarcane,Tube Well,15532.082973349306,15614.952889486189
Mysore,Onion,Canal Irrigation,10318.042354230423,10793.460842087476
Tumkur,Sugarcane,Sprinkler Irrigation,6399.12769347724,7142.715095016164
Belgaum,Chilli,Canal Irrigation,9583.46937693617,9269.054334174612
Gulbarga,Onion,Tube Well,10453.945575694468,10588.448897520244
Hubli,Oilseeds,Canal Irrigation,8110.104330938077,7853.908964119232
Mangalore,Barley,Sprinkler Irrigation,7141.194633355327,7053.0477077303285
Bijapur,Coriander,Sprinkler Irrigation,12121.21301596839,11691.706180362897
Raichur,Opium,Sprinkler Irrigation,6816.884588086358,6050.719257693512
Shimoga,Cumin,Sprinkler Irrigation,10142.648442555908,9881.992729243528
Udupi,Garlic,Drip Irrigation,15569.29896880499,16525.34409488322
Dharwad,Guava,Tube Well,11257.840334123124,10583.035550266895
Bellary,Gram,Drip Irrigation,9338.78509862833,9337.618930303952
Chitradurga,Tomato,Canal Irrigation,8087.025430940938,9027.325757563884
Bangalore Urban,Chilli,Canal Irrigation,12395.983434896116,11987.097173223005
Bangalore Rural,Cumin,Sprinkler Irrigation,13750.550060070624,14207.637635072351
Mysore,Mango,Drip Irrigation,13348.471883375982,14148.820821484678
Tumkur,Fenugreek,Drip Irrigation,10576.891966533269,10380.151810382242
Belgaum,Tomato,Canal Irrigation,6059.669862843155,5169.737135150896
Gulbarga,Cumin,Sprinkler Irrigation,13648.766220551282,14182.956462214845
Hubli,Wheat,Drip Irrigation,9840.984478938908,9731.900642816505
Mangalore,Chilli,Tube Well,8180.575452259329,7816.091076591338
Bijapur,Chilli,Drip Irrigation,12873.690481459602,12595.820219754054
Raichur,Opium,Tube Well,8937.405462393031,8683.067764353482
Shimoga,Guava,Canal Irrigation,8513.892562421464,8405.044644422163
Udupi,Mustard,Sprinkler Irrigation,13775.396571664598,13663.837296000622
Dharwad,Tomato,Canal Irrigation,8160.576332240359,8616.577673141624
Bellary,Citrus,Sprinkler Irrigation,11835.443254464695,12031.314668501418
Chitradurga,Bajra,Canal Irrigation,10327.943841983644,11062.99548173873
Bangalore Urban,Mustard,Tube Well,6313.80158999886,6132.722867504108
Bangalore Rural,Citrus,Sprinkler Irrigation,9617.676650299429,10038.170663846078
Mysore,Bajra,Sprinkler Irrigation,13197.7854958558,12776.71182895342
Tumkur,Barley,Canal Irrigation,13094.467488414506,12702.296246983577
Belgaum,Tomato,Sprinkler Irrigation,7756.209819548522,6761.103169464623
Gulbarga,Sugarcane,Tube Well,7425.755471725851,7757.582395404465
Hubli,Citrus,Sprinkler Irrigation,8990.539719449815,9366.226091443625
Mangalore,Wheat,Drip Irrigation,12154.897056732822,12140.997506806494
Bijapur,Coriander,Canal Irrigation,12376.563692104011,12507.712871384838
Raichur,Fennel,Tube Well,17852.609677112847,18489.171266347672
Shimoga,Chilli,Drip Irrigation,11449.390551345066,10775.085016708905
Udupi,Pulses,Canal Irrigation,8241.386061855565,8627.952151478203
Dharwad,Oilseeds,Drip Irrigation,10035.753350608777,9874.7813609212
Bellary,Barley,Canal Irrigation,8961.01820626848,9238.911256824618
Chitradurga,Chilli,Sprinkler Irrigation,11778.059541749071,11144.55453657851
Bangalore Urban,Coriander,Sprinkler Irrigation,11475.80445492513,12220.690723842012
Bangalore Rural,Cotton,Canal Irrigation,5053.718621133248,5213.811904065729
Mysore,Wheat,Sprinkler Irrigation,10667.136200350204,10413.16459056119
Tumkur,Citrus,Canal Irrigation,14756.562744418328,14082.621029392692
Belgaum,Pulses,Sprinkler Irrigation,14730.462821774374,15320.676297851942
Gulbarga,Coriander,Drip Irrigation,8766.947632428775,9599.00995248832
Hubli,Pulses,Drip Irrigation,10404.05606606711,10027.202997760824
Mangalore,Pulses,Tube Well,12711.245456060911,12906.542734869285
Bijapur,Oilseeds,Canal Irrigation,6418.676335180277,7047.824552002974
Raichur,Pulses,Sprinkler Irrigation,11100.780180603757,10715.636827936423
Shimoga,Pulses,Drip Irrigation,9422.358174186737,9948.405549746984
Udupi,Mustard,Drip Irrigation,11680.436061574252,12195.104130329632
Dharwad,Bajra,Drip Irrigation,6705.033459263387,7024.611145952871
Bellary,Barley,Tube Well,7677.250651736623,7183.275594183592
Chitradurga,Sugarcane,Drip Irrigation,12490.850387847267,13055.59201607381
Bangalore Urban,Bajra,Sprinkler Irrigation,7692.338336010403,7395.405668952577
Bangalore Rural,Pulses,Canal Irrigation,12432.999360909387,12128.672444456197
Mysore,Chilli,Sprinkler Irrigation,10228.198517926843,9364.872595722374
Tumkur,Wheat,Sprinkler Irrigation,12379.838591718528,13308.366189531193
Belgaum,Garlic,Drip Irrigation,18631.09132663682,17828.462763653428
Gulbarga,Chilli,Tube Well,8264.241694729391,8443.002837000042
Hubli,Fenugreek,Drip Irrigation,8744.458063282698,8454.102753160047
Mangalore,Citrus,Sprinkler Irrigation,11687.746351532394,11502.90229148163
Bijapur,Gram,Tube Well,7189.090151369604,6460.914891180668
Raichur,Opium,Canal Irrigation,12951.166963243912,12032.384089527675
Shimoga,Onion,Drip Irrigation,9815.154578804137,9729.0461118271
Udupi,Fenugreek,Tube Well,8345.46703498273,8160.031475986966
Dharwad,Bajra,Drip Irrigation,13978.142475382783,14583.015275430134
Bellary,Oilseeds,Drip Irrigation,16822.457365733197,16805.75411282305
Chitradurga,Pomegranate,Tube Well,11877.617820777426,12230.655149572112
Bangalore Urban,Pulses,Tube Well,9004.616852084248,9185.731316748272
Bangalore Rural,Oilseeds,Drip Irrigation,8050.000574835967,7448.173345852202
Mysore,Coriander,Tube Well,6960.644618107786,7636.862880790704
Tumkur,Cotton,Canal Irrigation,11782.138985859468,12384.107447787705
Belgaum,Guava,Tube Well,11923.863009853036,12824.140645374382
Gulbarga,Chilli,Canal Irrigation,8232.959471536062,8142.228955043288
Hubli,Cotton,Tube Well,9996.419334837983,10253.1613941642
Mangalore,Wheat,Drip Irrigation,12586.055656141323,13246.68059338104
Bijapur,Fenugreek,Drip Irrigation,14834.22867240389,14599.494637933924
Raichur,Pulses,Canal Irrigation,12581.685610400473,11774.352867592776
Shimoga,Fenugreek,Tube Well,10183.387351224495,9587.250860127924
Udupi,Onion,Canal Irrigation,10221.735228270967,10840.698423053584
Dharwad,Garlic,Drip Irrigation,14881.132921301873,13944.32996768179
Bellary,Gram,Tube Well,11257.243792202467,11962.992370755914
Chitradurga,Tomato,Drip Irrigation,5986.049263796483,6099.382364762266
Bangalore Urban,Opium,Sprinkler Irrigation,8467.326203570508,7736.302687995273
Bangalore Rural,Onion,Drip Irrigation,11808.797364004042,11789.904787608748
Mysore,Fenugreek,Tube Well,9629.843677297018,10338.546616394764
Tumkur,Barley,Tube Well,7374.706138521665,7556.796375824307
Belgaum,Coriander,Canal Irrigation,12092.941431726797,11661.816510888955
Gulbarga,Wheat,Drip Irrigation,7021.777144054195,6754.597332291575
Hubli,Wheat,Canal Irrigation,8855.17885323637,8711.47523377327
Mangalore,Citrus,Canal Irrigation,5072.651298959502,4561.10907180474
Bijapur,Fennel,Canal Irrigation,12349.410835243,13170.188872671724
Raichur,Sugarcane,Drip Irrigation,10190.624781572742,9230.048761964015
Shimoga,Barley,Tube Well,12696.518434146712,12541.464514116857
Udupi,Citrus,Canal Irrigation,5480.11881656273,5419.51861906854
Dharwad,Mango,Tube Well,10908.85767715624,10553.700414660168
Bellary,Onion,Drip Irrigation,12209.808084029357,11621.624715822843
Chitradurga,Chilli,Canal Irrigation,7948.719494120022,7547.7612893042515
Bangalore Urban,Bajra,Tube Well,12502.225875453534,13450.44040322664
Bangalore Rural,Garlic,Sprinkler Irrigation,7955.823722114245,7050.886444340034
Mysore,Pomegranate,Sprinkler Irrigation,11716.43888153888,12632.321008406025
Tumkur,Gram,Canal Irrigation,8847.156613362826,8980.013202936234
Belgaum,Onion,Tube Well,9035.9544752823,9627.25797397752
Gulbarga,Chilli,Canal Irrigation,10593.387725600547,10673.28288391157
Hubli,Citrus,Tube Well,8913.2530968281,8943.99156161911
Mangalore,Oilseeds,Drip Irrigation,11748.25844183641,11780.706671964546
Bijapur,Cumin,Tube Well,9033.17584048988,9957.409989706117
Raichur,Cotton,Tube Well,15002.262213567736,15455.492350599388
Shimoga,Chilli,Sprinkler Irrigation,8479.514014091956,7775.001391741113
Udupi,Fenugreek,Canal Irrigation,15505.273858628016,15325.794383586584
Dharwad,Fennel,Sprinkler Irrigation,14563.807623195647,14097.677140398482
Bellary,Fennel,Sprinkler Irrigation,7939.937867754027,8142.402407105041
Chitradurga,Maize,Drip Irrigation,6997.24919129482,6052.657538627098
Bangalore Urban,Tomato,Tube Well,11365.797788793954,11238.063610817391
Bangalore Rural,Bajra,Sprinkler Irrigation,8846.002979935683,7904.286715127459
Mysore,Fenugreek,Sprinkler Irrigation,12031.422519576368,11115.887262770157
Tumkur,Wheat,Drip Irrigation,14163.877590402428,13331.736672533589
Belgaum,Sugarcane,Drip Irrigation,16502.993414875997,16317.007117995352
Gulbarga,Fenugreek,Drip Irrigation,10597.742502795663,11277.363450100547
Hubli,Maize,Drip Irrigation,11351.10483255992,11351.601889594522
Mangalore,Chilli,Canal Irrigation,11453.429467564556,10633.92704293816
Bijapur,Gram,Canal Irrigation,8038.062839831013,8206.715280993425
Raichur,Maize,Tube Well,8278.907986841326,7492.536013314167
Shimoga,Cotton,Tube Well,11425.95264834646,12151.75251570051
Udupi,Onion,Canal Irrigation,12028.438120062354,11254.360813620242
Dharwad,Citrus,Tube Well,11115.224625387542,12041.855305318792
Bellary,Guava,Tube Well,11629.774598186652,12272.50533057055
Chitradurga,Fennel,Drip Irrigation,12094.269806341928,12418.716675222637
Bangalore Urban,Opium,Sprinkler Irrigation,7627.310714730009,7396.691139784864
Bangalore Rural,Fenugreek,Drip Irrigation,10413.521506481204,9886.285296040316
Mysore,Pomegranate,Drip Irrigation,12193.869090437394,11979.820226899894
Tumkur,Sugarcane,Drip Irrigation,14449.434058290164,14962.769915613875
Belgaum,Bajra,Sprinkler Irrigation,15528.132142730918,15790.83754804346
Gulbarga,Barley,Canal Irrigation,12545.479199841033,13191.874760633966
Hubli,Onion,Tube Well,16516.896430691613,16182.340860169454
Mangalore,Gram,Sprinkler Irrigation,12913.916198874264,12926.585226714868
Bijapur,Citrus,Canal Irrigation,11118.11461628748,10172.816402954222
Raichur,Fennel,Sprinkler Irrigation,10903.62158715328,11485.660222781187
Shimoga,Wheat,Tube Well,8467.26546540065,8078.360540914397
Udupi,Mustard,Drip Irrigation,6610.143110074755,6642.874892176802
Dharwad,Coriander,Tube Well,14303.01219457487,13941.81045305068
Bellary,Pulses,Canal Irrigation,7691.244304456919,7877.285135467985
Chitradurga,Sugarcane,Sprinkler Irrigation,7133.565728908707,6868.764855240055
Bangalore Urban,Pomegranate,Sprinkler Irrigation,5459.316999637401,4505.257189045351
Bangalore Rural,Fennel,Sprinkler Irrigation,12894.040646045854,13842.2957895456
Mysore,Cotton,Sprinkler Irrigation,6833.1422244262885,7069.150323578486
Tumkur,Cotton,Sprinkler Irrigation,6156.527636076906,5892.367944297931
Belgaum,Gram,Drip Irrigation,13044.741716778171,12915.05918740857
Gulbarga,Fenugreek,Tube Well,6100.508015660505,6527.63543958986
Hubli,Cotton,Canal Irrigation,13796.69414857036,13560.84117883747
Mangalore,Bajra,Sprinkler Irrigation,13113.398314287464,12679.33280435286
Bijapur,Citrus,Sprinkler Irrigation,10211.1619322817,9503.04763651256
Raichur,Cotton,Sprinkler Irrigation,12282.296599456238,13096.953069402116
Shimoga,Cumin,Tube Well,6299.818711349865,6237.581927446101
Udupi,Opium,Tube Well,12890.67771950633,13317.349617625414
Dharwad,Coriander,Canal Irrigation,6830.890015493443,6944.889964274461
Bellary,Mango,Sprinkler Irrigation,9686.704405704371,9395.30777286522
Chitradurga,Fenugreek,Drip Irrigation,5438.249894309379,5447.33388982535
Bangalore Urban,Sugarcane,Tube Well,9678.090295619617,8942.566803045785
Bangalore Rural,Barley,Sprinkler Irrigation,8634.32478743153,8641.818231111933
Mysore,Tomato,Sprinkler Irrigation,5741.696897283396,6162.208046606736
Tumkur,Pulses,Canal Irrigation,7118.811216222247,6207.135539198666
Belgaum,Onion,Canal Irrigation,12395.029920871057,13247.504005815872
Gulbarga,Cotton,Canal Irrigation,11376.228274717105,11247.779011929282
Hubli,Mango,Tube Well,12484.253173600146,11786.782665913928
Mangalore,Barley,Sprinkler Irrigation,7095.852075264301,6555.573166402743
Bijapur,Onion,Canal Irrigation,8018.848007134954,7953.113686798819
Raichur,Onion,Drip Irrigation,10307.853251903469,11285.490419312966
Shimoga,Onion,Tube Well,10766.865664626665,11458.542366526488
Udupi,Gram,Canal Irrigation,7163.283216558158,7899.629435801512
Dharwad,Oilseeds,Canal Irrigation,9369.466939081669,9695.742296472272
Bellary,Cumin,Drip Irrigation,11546.486122084414,11688.06174435346
Chitradurga,Mustard,Sprinkler Irrigation,13705.24024420113,14059.057276393854
Bangalore Urban,Wheat,Canal Irrigation,10898.390336666438,11259.669155541857
Bangalore Rural,Guava,Drip Irrigation,13202.485778852955,12510.036716220551
Mysore,Tomato,Tube Well,10046.852342050624,10957.255403996636
Tumkur,Fenugreek,Drip Irrigation,8844.268048973647,7931.962048028268
Belgaum,Tomato,Canal Irrigation,15011.756121296608,16011.398340457396
Gulbarga,Pulses,Sprinkler Irrigation,15740.431457983404,16343.547383826584
Hubli,Mango,Drip Irrigation,14067.416243968542,14161.72868758106
Mangalore,Pomegranate,Drip Irrigation,8331.344158906848,7687.365760465774
Bijapur,Mustard,Drip Irrigation,14521.551381176943,13847.432748927453
Raichur,Sugarcane,Sprinkler Irrigation,8027.02264421334,8008.712839432565
Shimoga,Sugarcane,Sprinkler Irrigation,9588.476682217606,8780.699677261195
Udupi,Chilli,Sprinkler Irrigation,11541.94781060204,12312.773887885804
Dharwad,Cotton,Tube Well,8182.760002954727,8027.832701711695
Bellary,Coriander,Sprinkler Irrigation,10921.137569463444,10773.17176710606
Chitradurga,Chilli,Canal Irrigation,15127.411793933654,15480.291857947705
Bangalore Urban,Onion,Drip Irrigation,9516.809646994006,9391.520684856056
Bangalore Rural,Sugarcane,Sprinkler Irrigation,15072.945746839408,15441.57362143588
Mysore,Maize,Tube Well,8680.0331503779,7775.489699172919
Tumkur,Barley,Drip Irrigation,10223.51050342296,10049.549312461426
Belgaum,Fenugreek,Canal Irrigation,10637.32123043492,10808.456999947715
Gulbarga,Wheat,Drip Irrigation,11628.134621690746,11553.89250934553
Hubli,Pomegranate,Drip Irrigation,7783.904317426316,8537.415011697321
Mangalore,Mango,Tube Well,13456.823657807305,13356.719469243038
Bijapur,Mango,Sprinkler Irrigation,6794.217285420085,5950.658344339356
Raichur,Cotton,Drip Irrigation,10268.31714118815,9304.147579412333
Shimoga,Gram,Drip Irrigation,5961.018345394347,5915.258093219061
Udupi,Fenugreek,Tube Well,9270.968082428504,9897.233041613656
Dharwad,Guava,Tube Well,14413.969484412684,13589.239745657002
Bellary,Wheat,Sprinkler Irrigation,6592.13611520169,5623.906608232721
Chitradurga,Wheat,Sprinkler Irrigation,10457.680190138171,9747.988571006308
Bangalore Urban,Citrus,Sprinkler Irrigation,8098.752695804994,8638.194988605921
Bangalore Rural,Onion,Tube Well,5882.973021388557,5215.184007740752
Mysore,Opium,Tube Well,13120.875936312124,13063.854333616358
Tumkur,Cumin,Sprinkler Irrigation,8969.528013314573,9108.38893680526
Belgaum,Barley,Canal Irrigation,7262.329409817388,7523.149170492066
Gulbarga,Citrus,Tube Well,12638.373823058402,12830.05292421378
Hubli,Sugarcane,Drip Irrigation,11438.122672003688,11410.324593248482
Mangalore,Coriander,Tube Well,9172.024047807055,8293.433412273556
Bijapur,Citrus,Canal Irrigation,10164.105366294296,9699.803107994663
Raichur,Onion,Drip Irrigation,9945.804199045177,10823.733151115945
Shimoga,Tomato,Tube Well,6948.836672280033,6524.858235187268
Udupi,Onion,Canal Irrigation,11618.405253639075,11633.677144096084
Dharwad,Fenugreek,Canal Irrigation,15100.293479114109,15807.20106202994
Bellary,Pulses,Canal Irrigation,11406.57517512807,11187.31764097883
Chitradurga,Fenugreek,Canal Irrigation,15779.472333764716,16378.982451697002
Bangalore Urban,Coriander,Sprinkler Irrigation,8088.553493672884,8587.062097337996
Bangalore Rural,Pulses,Sprinkler Irrigation,7534.106106686366,7745.604121198811
Mysore,Citrus,Tube Well,9031.826119733782,8450.69200244088
Tumkur,Wheat,Canal Irrigation,16092.813680548305,15806.901430222144
Belgaum,Oilseeds,Drip Irrigation,14393.826452646068,14069.295961869477
Gulbarga,Coriander,Sprinkler Irrigation,7380.173966614751,6828.36524409436
Hubli,Mango,Canal Irrigation,13523.13612545464,14063.325911377906
Mangalore,Cotton,Sprinkler Irrigation,13740.204329284716,14487.595680081347
Bijapur,Fenugreek,Drip Irrigation,13047.373212415954,13900.637409322457
Raichur,Tomato,Drip Irrigation,11035.2873942164,11598.592185228395
Shimoga,Gram,Drip Irrigation,10252.36347286391,9586.45606948313
Udupi,Bajra,Canal Irrigation,7592.191945521629,7176.437920958843
Dharwad,Chilli,Tube Well,11143.498804482302,10342.087282366472
Bellary,Mango,Sprinkler Irrigation,7381.405459318455,6785.186119934442
Chitradurga,Wheat,Sprinkler Irrigation,13237.011818185616,13184.338483427931
Bangalore Urban,Chilli,Sprinkler Irrigation,7955.053549886496,7699.926264692094
Bangalore Rural,Guava,Sprinkler Irrigation,8522.951453790756,9029.965795884971
Mysore,Maize,Sprinkler Irrigation,12600.313282212364,12427.13211970632
Tumkur,Tomato,Canal Irrigation,14275.043221708587,14160.20060040575
Belgaum,Opium,Drip Irrigation,6712.993163094633,6342.602306853211
Gulbarga,Citrus,Drip Irrigation,9108.540518589936,8182.72798598882
Hubli,Cumin,Drip Irrigation,15088.225896793248,16048.320046403194
Mangalore,Sugarcane,Tube Well,8888.707745250778,9250.449060090952
Bijapur,Sugarcane,Canal Irrigation,12579.517166782887,11595.321633790458
Raichur,Chilli,Sprinkler Irrigation,13068.755745973094,12961.13384737978
Shimoga,Garlic,Tube Well,13050.127186963084,13825.47697997748
Udupi,Bajra,Canal Irrigation,6214.929226410636,6289.796211709224
Dharwad,Pulses,Canal Irrigation,8633.055423221771,8656.398636895987
Bellary,Chilli,Canal Irrigation,12004.150042499814,11324.20472295785
Chitradurga,Garlic,Canal Irrigation,8378.946113455902,8927.261687743408
